url,description
https://campusinvolvement.umich.edu/late-night-programs?page=2,"Join other grad students for free food, massages, decorative candle making, a chocolate fountain, giveaways, and more! The first 25 guests will receive a stress relief-themed gift basket. We will be raffling off a Fit Bit, stress relief gift baskets, and more!"
https://campusinvolvement.umich.edu/late-night-programs?page=2, 
https://campusinvolvement.umich.edu/late-night-programs?page=4,"Join us Monday, February 22nd, from 3-5PM for an awards reception to honor the winners of the Juried Art Competition. Light refreshments will be served in the Hussey Room on the 2nd Floor of the Michigan League. It is a great opportunity to view art & meet the artists behind the work!"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"Thursday, March 31st from 7-9pm in the Pendleton Room of the Michigan Union (2nd Floor)."
https://campusinvolvement.umich.edu/late-night-programs?page=2,"Join of us for a night of treasure-hunting and celebrating St. Patrick's Day at the Union!  On Friday, March 18 from 10pm - 2am, take part in a treasure hunt and discover a prize, play bubble soccer, participate in a horse race, have fun with some mini golf, relax with a charm bracelet or phases-of-the-moon craft, or enjoy our excellent soup and salad buffet at midnight!"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"Join us at UMix Game Night where we will feature almost every type of popular game! There will be: Minute To Win It games, Wolverine Feud, video games, board games, & a reality game show Pop Culture Clash. There are great prizes to be won & the craft for the night will be everyone's favorite childhood craft - Perler Beads. We will screen ""Spectre"" at 10:30PM and we'll have our legendary Nacho Bar for the midnight buffet."
https://campusinvolvement.umich.edu/late-night-programs?page=3,"Join us for Senior Spotlight as part of our Senior Program series on the Diag on April 10 from 12pm - 3pm.  UM Social Media will take stories for their Wolverines of Ann Arbor storytelling series.  In addition, photographers will take senior pictures for students at the diag, law quad, and union.  Feel free to wear your Cap and Gown for your pictures!"
https://campusinvolvement.umich.edu/late-night-programs?page=2,"Join of us for a night of treasure-hunting and celebrating St. Patrick's Day at the Michigan Union! On Friday, March 18, take part in a treasure hunt and discover a prize, play bubble soccer, participate in a horse race, have fun with some mini golf, relax with a charm bracelet or phases-of-the-moon craft, or enjoy some food at the midnight buffet!  The fun begins at 10pm and lasts until 2am!"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"Join us February 16th starting at 6:30PM in the Vandenberg Room of the Michigan League to support Michigan Men's Basketball as they go head to head with OSU. Streaming of the game, pizza, & snacks will be provided!"
https://campusinvolvement.umich.edu/late-night-programs?page=4,"Join us in the Kalamazoo Room of the Michigan League on Thursday, Feb 25th at 7PM with instructors from the Ann Arbor Art Center to learn how to create zentangle artwork on canvas. Light refreshments will be provided (Brownies, Coffee, &Hot Chocolate). We have a 25 person capacity so RSVP here to save your space!"
